gdp,popdens,medianage,landarea,humidity,temp,ghsi,sars,covidpercapita
2910,281.00,40,241930,74.6,6.4,77.9,0,0
58,20.00,36,175020,66,28.7,41.3,0,455.1834253
21200,36.00,38,9147420,73.4,13.8,83.5,0,0.3269004157
55,79.00,28,425400,52.1,13.6,34.3,0,0.2736648235
280,32.00,30,882050,79.5,24.8,23,0,1.704646184
255,314.00,32,310070,73.8,24.2,49.1,5,174.7651933
27.5,25.00,18,743390,87.8,25,28.7,0,170.7758005
29,38.00,19,386850,73,22,38.2,0,0.171422126
0.533,96.00,34,750,73,24,24,0,0.2519232768
1.186,327.00,32,348.5,67,26,27.5,0,0.1674082349
14.72,39.00,17.6,801590,76,25,26.5,0,0.6876792998
40.41,95.00,25.6,185180,68,9,19.9,0,0
2.581,89.00,20.8,15010,80,27.5,26,0,0.7247493696
1.871,17.00,25.5,22970,88,24,31.8,0,5.716376275
17.95,31.00,24.4,236800,64,23,43.1,0,3.215265675
48.36,4.00,28.8,1760000,62,15,25.7,0,26.78474022
14.62,590.00,17.4,2402,55,10,41.96,0,0
1.458,54.00,18.8,36125,55,25,20,0,3.681366355
17.16,16.00,16,1240000,20,27,29,0,4.650973742
1.011,204.00,35.5,269.4,75,25,26.2,0,255.9879384
7.939,159.00,29.1,10890,74.7,9.22,41.96,0,3.166624925
71.21,83.00,29,676575,64,27.5,41.96,0,135.4822986
18.62,4.00,24,600370,57,31,31.1,0,0.1792692823
3.037,427.00,17.3,27834,80,24.4,22.8,0,0.3516676431
4.085,111.00,19.4,71740,67,27,38.2,0,0
7.065,161.00,17.2,118480,80,26,28,0,0.7840963309
12,18.00,19,619475,46.5,29.9,21.7,0,0
0.909,2.00,28.4,266000,67,17.5,41.96,0,0
0.4223,227.00,18.6,1000,84,26,41.96,0,0.163185778
26.91,56.00,20.2,527968,65,16,18.5,0,0.2018445361
